N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
29,"El equipo de gestión de la calidad de un establecimiento de salud, desea hacer un plan de mejora continua de los servicios del establecimiento. Para tal fin, indica a los jefes de cada servicio realizar un diagnóstico situacional de su área como línea de base; teniendo en cuenta aspectos de análisis de intorno, entorno. ¿Qué herramienta utilizaría Ud. para realizar el diagnóstico situacional?",Árbol de problemas,FODA,Matriz de la problematización,Matriz de causa efecto,B,FODA
30,"¿Cuáles son los estudios prospectivos de mayor calidad de evidencia, donde el investigador controla el factor de estudio?",Analíticos,Experimentales,Cohortes,Descriptivos,B,Experimentales
31,La pre diabetes se puede identificar a través de la glicemia en ayunas con un valor entre ...... mg/dl.,100-125,200 - 250,60 - 80,130-200,A,100-125
32,"En un establecimiento de salud, se decide la contratación de recursos humanos. Por lo que se requiere definir adecuadamente el perfil del cargo. ¿Cuál es el documento de gestión que va a guiar los elementos de contratación?",CAP,POI,MAPRO,MOF,D,MOF
33,"Paciente de 20 años, HSH, presenta fiebre y rash hace una semana. Antecedente de secreción uretral amarillenta hace 2 semanas, le diagnosticaron descarga uretral y no tomó el tratamiento; luego tuvo RS. Examen: PA: 120/70 mmHg, FC: 90 X', T°: 38.5 °C; rash en el cuerpo; AR: MV pasa en ACP; CV: RC regulares y rítmicos; hígado: 13 cm de span hepático. ¿Cuál es el diagnóstico más probable?",Meningococemia,VIH aguda,Gonococemia,Sífilis secundaria,C,Gonococemia
34,"Mujer de 20 años procedente de Chosica, presenta fiebre hace 7 días, cefalea, dolor muscular; ingresa a emergencia por dolor abdominal. Examen: PA: 70/50 mmHg, Sat O2: 89%, FC: 102 X', FR: 27 X'; afebril, luce deshidratada y decaída. AR: MV pasa en ACP; CV: RC taquicárdicos de buena intensidad; abdomen: RHA presentes, hígado de 15 cm de span hepático; SNC: somnolienta. ¿Cuál es su diagnóstico probable?",Dengue con signos de alarma,Dengue grave,Dengue,Dengue sin signos de alarma,B,Dengue grave
35,El modelo Bismark como modelo de salud se caracteriza por tener enfoque en...,acceso según recurso.,grupos especiales.,la comunidad.,protección laboral y familiar.,D,protección laboral y familiar.
36,"Según la normatividad vigente, sobre manejo de residuos sólidos. Los medicamentos vencidos. ¿Cómo qué tipo de residuo se clasifica?",Punzocortantes,Comunes,Especiales,Biocontaminados,C,Especiales
37,"Una paciente con dengue acude a UVICLIN del centro de salud de su comunidad, se le clasifica en el grupo B2 de acuerdo a normativa vigente, el tratamiento con solución salina normal al 0.9% indicado es de ...... ml/Kg de peso en una hora.",15,5,10,20,C,10
38,Dentro del plan anual de calidad de salud en el establecimiento de salud está programada la apertura del buzón de sugerencias para saber la opinión de los usuarios con el objetivo de realizar los planes de mejora. ¿Cuál es la frecuencia de apertura del buzón de sugerencias?,Anual,Mensual,Trimestral,Semestral,B,Mensual
39,¿Cuál de los siguientes fármacos atraviesa la barrera placentaria y tiene riesgo de alcanzar concentraciones elevadas en el feto?,Diazepam,Amoxicilina,Omeprazol,Fluconazol,A,Diazepam
40,"Mujer de 30 años que, al día siguiente de recibir la vacuna contra la neumonía, refiere fiebre, cefalea y mialgias; dos días después presenta vómitos y diarrea. Sin evidencia de mejora, consulta en un centro de salud y se decide su internamiento. ¿Qué tipo de ESAVI es?",No grave,Leve,Moderado,Grave,D,Grave
41,"Joven de 24 años, G2P1011, acude por presentar secreción vaginal líquida, grisácea, pegajosa, abundante y con mal olor; no uso de MAC. AMEU hace un año. Examen: FC: 72 X’; FR: 17 X’; T°: 36.5 °C; PA: 110/60 mmHg. Especuloscopía: hallazgos congruentes con los descritos. Prueba de aminas con KOH presente (a pescado). ¿Cuál es el diagnóstico?",Vaginosis bacteriana,Candidiasis,Tricomoniasis,Uretritis,A,Vaginosis bacteriana
42,¿Qué profesional debe tener la custodia de oxígeno medicinal en un establecimiento de salud?,Químico farmacéutico,Médico,Enfermera,Técnico de farmacia,A,Químico farmacéutico
43,¿Cuál de los siguientes enunciados es un indicador de estructura en la vigilancia epidemiológica en adolescentes?,% de adolescentes con consejería en salud sexual y reproductiva,% de adolescentes con consejería en salud nutricional,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes,% de atenciones preventivas en adolescentes con SIS,C,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes
44,"En una reunión de la Microred Pinchollo, se hace una evaluación de cumplimiento de indicadores FED; donde para el indicador ""porcentaje de niñas y niños de 12 a 18 meses, con diagnóstico de anemia entre los 6 y 11 meses, que se han recuperado"", del centro de salud de Agua Dura no se registra ningún niño con anemia como recuperado. ¿Dónde está el problema?",Perdida del DNI del niño,Error en el registro de HIS,Registro incorrecto de CVN,Incorrecto registro de niños en los hospitales,B,Error en el registro de HIS
45,"Paciente de 20 años procedente de Camporedondo - Amazonas, presenta fiebre, ictericia y decaimiento hace 10 días acude a emergencia por escalofríos. Examen: PA: 100/70 mmHg, FC: 90 X’, Sat O2: 96% T°: 37,8 °C; AR: MV pasa en ACP; hígado: 15 cm de span. Laboratorio: formas cocobacilares de Bartonella. ¿Cuál es su diagnóstico?",Leptospirosis,Dengue,Malaria Vivax,Enfermedad de carrión,D,Enfermedad de carrión
46,Se desea investigar los efectos de los macrólidos en bronquiolitis aguda; ¿Qué tipo de estudio sería el adecuado?,Descriptivo longitudinal,Descriptivo transversal,Analítico experimental,Analítico observacional,C,Analítico experimental
47,¿Cuál es el recurso que utiliza el investigador para registrar información o datos sobre las variables estudiadas?,Instrumento de medición,Medida de estabilidad,Aparatos y equipos,Recolección de datos,A,Instrumento de medición
48,¿Cuántos macroprocesos se evalúan para la acreditación de un establecimiento del primer nivel de atención I-4?,28,20,22,18,C,22
49,Dentro de la ración de alimentos del PCA-PANTBC. ¿Cuál es el porcentaje de los requerimientos nutricionales calórico- proteicos al mes?,50,30,40,60,A,50
50,¿Cuál de los siguientes enunciados está implicado en la gobernanza en salud pública?,Responsabilidad de los actores institucionales exclusivamente,Visión estratégica y ética de la salud,Formación de todo tipo de capital,Transparencia sin rendición de cuentas,B,Visión estratégica y ética de la salud
51,"Después de haber utilizado benzodiacepinas por varios meses y retirar el fármaco de forma abrupta, se desarrolla rápidamente ansiedad, taquicardia, pesadillas, náuseas, insomnio entre otros síntomas. ¿Qué tipo de reacción adversa se ha presentado?",RAM tipo B,RAM tipo C,RAM tipo E,RAM tipo A,C,RAM tipo E
52,Para recomendar la puesta en marcha de un programa de prevención secundaria respecto a un problema de salud determinado. ¿Cuál es uno de los tres grupos principales de factores a tener en cuenta?,Relativos al problema de salud,Enfocados en rehabilitación,Relacionados al contexto,Enfocados en tratamiento,A,Relativos al problema de salud
53,"Cuando nos referimos a toda acción o actividad que realizan los otros profesionales de la salud para la promoción, prevención, recuperación y rehabilitación de la salud, según corresponda, que se brinda al paciente, familia y comunidad, hablamos de:",Atención de salud,Acto de salud,Auditoría,Acto médico,B,Acto de salud
54,"¿Cuál es la gestión del proceso que permite a las entidades socializar y facilitar la interrelación y adaptación de manera planificada de las personas que ingresan a un puesto de la entidad, de forma que se le brinde la información relacionada al funcionamiento general del estado, a su institución, a sus normas internas y a su puesto?",Inducción,Reunión,Taller,Capacitación,A,Inducción
55,Según el perímetro abdominal para la edad. ¿Qué valor determina riesgo alto para tener enfermedades cardiovasculares y metabólicas en adolescentes?,Percentil ≥90,Circunferencia abdominal >80 cm,Percentil ≥75 y <90,Circunferencia abdominal ≥75 cm,C,Percentil ≥75 y <90
56,"Un estudio de investigación, que no se realiza sobre datos primarios, sino que utiliza los datos recogidos previamente en otros estudios. ¿A qué tipo de estudio hace referencia?",Descriptivo,Cohortes,Analítico,Revisión sistemática,D,Revisión sistemática
57,¿Cuál es la ciencia que nos proporciona la metodología apropiada para investigar y contextualizar los problemas y situaciones de salud?,Epistemología,Epidemiología,Ética,Estadística,B,Epidemiología
58,¿Cuál es la etapa donde el curso de la enfermedad va desde el influjo de los factores causales hasta las primeras manifestaciones clínicas inespecíficas?,Subclínica,Prodrómica,Clínica,Prepatogénica,A,Subclínica
59,"El jefe de un establecimiento de salud, revisa conjuntamente con su equipo de gestión los resultados de la encuesta de satisfacción del usuario e identifican que el problema principal es el tiempo de demora en la atención. Por lo tanto, evalúan la brecha de recursos humanos para hacer el requerimiento para tal fin. ¿Qué documento de gestión es necesario para evaluar la brecha?",MOF - CAP,ROF – CAP,CAP – POI,PEI- MAPRO,B,ROF – CAP
60,"El responsable del establecimiento de salud, han identificado que tienen una gran población de mujeres en edad fértil procedentes de Venezuela. Con el fin de promover un mejor proceso de integración como sociedad de acogida y al uso de servicios de sanitarios, planifica capacitar a su personal. ¿Cuál sería el tema principal de la capacitación?",Respeto al usuario,Empatía y buenas prácticas en salud,Etnocentrismo y relativismo cultural,Charla de drogas y violencia,C,Etnocentrismo y relativismo cultural
61,Durante la evaluación realizada de indicadores de gestión de medicamentos esenciales. ¿Cuál debe ser el valor de disponibilidad óptimo esperado que debe obtener la farmacia?,75% a 80%,80% a 85%,90% a 100%,85% a 89%,C,90% a 100%
62,Se desea estimar la prevalencia de la neumonía adquirida en la comunidad en la población pediátrica de 2 a 5 años en las escuelas de su jurisdicción. Para controlar el sesgo de selección. ¿Qué tipo de muestreo se debe realizar?,No probabilístico,Aleatorio simple,Estratificado,Por conglomerados,B,Aleatorio simple
63,"¿Cómo se define cuando los pacientes reciben la medicación adecuada a sus necesidades clínicas, en las dosis correspondientes a sus requisitos individuales, durante un período de tiempo adecuado y al menor costo posible para ellos y para la comunidad?",Atención farmacéutica,Estudios clínicos,Seguimiento farmacoterapéutico,Uso racional de medicamentos,D,Uso racional de medicamentos
64,De los factores relativos a las pruebas; el que se relaciona con la operatividad de las pruebas es la…,aceptabilidad.,susceptibilidad.,validez.,sensibilidad.,A,aceptabilidad.
65,"En el caso de tratamientos especiales, nuevas modalidades de atención, práctica de procedimiento o intervenciones que puedan afectar psíquica o físicamente al paciente; y la participación del paciente en actividades de docencia, debe realizarse y registrarse con el formato de...",autorización de atención.,permiso del paciente.,consentimiento informado.,solicitud de atención.,C,consentimiento informado.
66,"Luego del proceso de evaluación SERUMS, se le asigna laborar en un establecimiento de salud I-2, con una población asignada de 2550 personas. De acuerdo a normativa vigente. ¿Con qué personal de salud debe contar el establecimiento?","Enfermera, obstetra y técnico de enfermería","Médico, enfermera, obstetra y técnico de enfermería","Médico, enfermera, biólogo, agentes comunitarios","Médico, enfermera y auxiliar de enfermería",B,"Médico, enfermera, obstetra y técnico de enfermería"
67,"Según la norma técnica de salud para la acreditación de establecimientos de salud y servicios médicos de apoyo, las fases de acreditación son:",Autoevaluación y evaluación externa,Autoanálisis y evaluación anual,Evaluación y evaluación interna,Análisis situacional y evaluación interna,A,Autoevaluación y evaluación externa
68,Las creencias que presenta una comunidad determinándolo como válido y propio en su desarrollo cultural no presentando participación en la comunidad ni en el sistema de salud. ¿Qué tipo de problema intercultural presenta?,Desarrollo social,Bioética,Conflicto intercultural,Aculturación,C,Conflicto intercultural
69,"El responsable de capacitación del establecimiento de salud solicita el plan de capacitación a cada servicio. Para ello el encargado del servicio de medicina se reúne con su personal, para realizar el análisis FODA y necesidades de capacitación. ¿Qué componente pertenece al análisis interno?",Fortaleza,Oportunidades,Amenazas,Competencias,A,Fortaleza
70,En los cuidados individuales por curso de vida adulto mayor; en el entorno comunitario contempla:,La prevención de las caídas entre otros,El control glicemia,Control de presión arterial,Control de colesterol en sangre,A,La prevención de las caídas entre otros
71,"En una visita domiciliaria se encuentra que en la familia Zegarra, el padre de 42 años es diabético de 10 años de evolución; el hijo mayor de 16 años tiene IMC: 27, glicemia en ayunas de 130 mg/dl; madre de 34 años tiene IMC: 23. El médico recomienda dieta hipocalórica e hipograsa. Esta medida está en nivel de prevención:",Terciaria,Secundaria,Primaria,Cuaternaria,C,Primaria
72,"El médico SERUMS del puesto de salud, organiza un taller para autoexamen de mama con las mujeres del comedor popular de su distrito; allí explica la técnica del autoexamen y factores de riesgo para cáncer de mama. ¿Qué fomenta esta intervención?",Tratamiento,Autocuidado,Diagnóstico,Rehabilitación,B,Autocuidado
73,¿Cuál es una de las causales de exclusión de proveedores adjudicatarios?,Cuando su empresa no cuente con RUC vigente,Cuando sea persona natural,Cuando este impedido de contratar con el estado,Cuando el consorcio no esté registrado,C,Cuando este impedido de contratar con el estado
74,"Paciente, quechua hablante de 44 años aún fértil, madre de 6 hijos, con enfermedad de hipertensión arterial, se niega a utilizar métodos anticonceptivos. ¿Qué acción debe tomar con respecto a este caso?",Respetar su decisión,Solicitar evaluación psicológica,Persuadirla a que utilice anticonceptivos,Llamar a su pareja para que decida por ella,A,Respetar su decisión
75,Puérpera con diagnóstico confirmatorio de sífilis; tratamiento incompleto; al recién nacido se considera neonato con sífilis congénita. ¿Cuál es la acción a seguir?,Evaluación diagnostica confirmatoria,Derivar a establecimiento resolutivo,Tratamiento farmacológico inmediato,Tratamiento alternativo,B,Derivar a establecimiento resolutivo
76,"Gestante llega al centro materno infantil, aproximadamente a las 11 pm, durante el proceso de la atención del parto, el bebé cae al balde de desecho provocándole luxación de la clavícula. El equipo de guardia inmediatamente procede a realizar la atención correspondiente, siendo derivado a un establecimiento de mayor capacidad resolutiva. El jefe del establecimiento solicita una auditoría. ¿Qué comité de auditoría se activará para este caso?",Comité de Auditoria Médica,Consejo de Auditoría Médica,Comité de Auditoría en Salud,Consejo de Auditoría profesional,C,Comité de Auditoría en Salud
77,"Acuden a la emergencia médica, de un hospital de alta complejidad, dos pacientes provenientes de la selva peruana, ambos afiliados al Seguro Integral de Salud; uno de ellos viene con su respectiva referencia y el otro no. ¿Qué le corresponde hacer al médico tratante de la emergencia?",Atender solo al que cuenta con la respectiva referencia del SIS,Atender a los dos pacientes por igual,Deriva a la asistenta social para que evalue el caso,Derivar al paciente que no tiene referencia a su jurisdicción,B,Atender a los dos pacientes por igual
78,"En la actividad de entrega de producto e información, dentro del proceso de dispensación farmacéutica de medicamentos de primera línea para la tuberculosis. ¿Cuál es una reacción adversa que debería de advertirse al paciente?",Neuritis periférica por isoniazida,Trombocitopenia por linezolid,Neuritis óptica por pirazinamida,Nefrotoxicidad por rifampicina,A,Neuritis periférica por isoniazida
79,"Una investigación es un proceso sistemático, organizado y objetivo, destinado a responder a una pregunta. El término sistemático significa que se aplica...",el método científico.,el método hipotético.,el método epidemiológico.,el método clínico.,A,el método científico.
80,"¿Cuál es el criterio que determina: ""el grado en el que un programa de salud puesto en práctica logra lo que se pretende conseguir en una población determinada""?",Eficacia,Efectividad,Eficiencia,Factibilidad,B,Efectividad
81,"En bioestadística, las observaciones cuantitativas que brindan datos discretos corresponden a ...",valores individuales que sólo aceptan números enteros.,valor que se puede dividir en infinitos valores entre dos puntos cualquiera.,valor que se puede dividir en fracciones entre dos puntos cualquiera.,un número infinito de fracciones entre dos puntos de la escala.,A,valores individuales que sólo aceptan números enteros.
82,"Dentro de sus intervenciones a realizar en su establecimiento de salud, prioriza el programa articulado nutricional (PAN). ¿Cuál es el objetivo del programa?",Disminución la desnutrición aguda en menores de 3 años,Disminución de la malnutrición en menores de un año,Reducción de la desnutrición crónica en menores de 5 años,Reducción de desnutrición y anemia en niños,C,Reducción de la desnutrición crónica en menores de 5 años
83,"Paciente varón de 35 años que trabaja habitualmente en el sector agrícola, acude junto a su familiar al centro de salud donde realiza su SERUMS, manifestando desorientación, mareos, bradicardia, dificultad respiratoria y relajación de esfínteres. El familiar manifiesta que el paciente estaba manipulando plaguicidas y parte de este se derramó en gran parte de su vestimenta. ¿Cuál es el tratamiento de primera línea?",Adrenalina,Atropina,Naloxona,Flumazenil,B,Atropina
84,"Las farmacias de los establecimientos de salud del MINSA a nivel nacional. ¿Qué sistema de información deben manejar para remitir información de consumo integrado de productos farmacéuticos, dispositivos médicos y productos sanitarios?",SISMED,Sisgalen,Farmax,Galeno,A,SISMED
85,"¿Cuál es un ámbito que se debe considerar, en un foco ampliado del modelo integral de atención, encargada de las actividades de diagnóstico precoz y tratamiento oportuno?",Medicina en domicilio y comunidad,Consulta ambulatoria,Hospitalizaciones,Urgencias y observación,B,Consulta ambulatoria
86,¿Cuál de las siguientes acciones forma parte de una prevención específica?,Propicia la actividad física en la comunidad,Sensibiliza a la población la no ingesta de alcohol,Promueve el uso de condón,Incrementa la cobertura en el programa de inmunización,D,Incrementa la cobertura en el programa de inmunización
87,"¿Es un instrumento que facilita el enfoque sistémico familiar en atención a la persona y proporciona una visión rápida e integrada de los problemas biomédicos y psicosociales, además de establecer las relaciones familiares?",Genograma,Tipología familiar,Círculo familiar,Apgar familiar,A,Genograma
88,"El respeto que merece el paciente exige, hoy más que nunca, que los profesionales de la salud en general y los médicos en particular adquieran la suficiente habilidad comunicativa para que los pacientes realmente comprendan, por lo que la asertividad en la comunicación inicia con...",valorar lo justo y lo injusto.,saber escuchar.,discernir entre lo bueno y lo malo.,diferenciar lo correcto de lo incorrecto.,B,saber escuchar.
89,Estudiando la prevalencia de anemia en 2020 en la población de Huancavelica encontramos que mantienen patrones culturales asociados a ingestas deficientes y aunadas a costumbres alimentarias de la región. ¿Qué aspecto de la interculturalidad vienen desarrollando?,Bioética,Medicina holística,Derechos humanos,Etnocentrismo,D,Etnocentrismo
90,Cuando el evento definitivamente no está relacionado a la vacuna y se identifica una etiología o patología que explica de manera razonable el cuadro clínico (enfermedad producida por otra etiología). ¿A qué tipo de ESAVI corresponde?,Evento no concluyente,Inmunización,RAM,Evento coincidente,D,Evento coincidente
91,"En consulta a paciente adolescente el médico realiza la evaluación antropométrica; al tomar pliegues cutáneos y perímetros, no realiza consentimiento informado. ¿Qué principio ético está vulnerando?",Justicia,No maleficencia,Beneficencia,Autonomía,D,Autonomía
92,"Paciente de 30 años procedente de zona infestada por Aedes aegypti, presenta hace 5 días fiebre y dolor muscular, además se agrega dolor abdominal y plaquetas: 80,000/dl. ¿Cuál es el diagnóstico?",Dengue,Dengue grave,Dengue sin signos de alarma,Dengue con signos de alarma,D,Dengue con signos de alarma
93,"Paciente que acude a su establecimiento de salud, con una glicemia en ayudas de 201 mg/dl, baja de peso, polidipsia y polifagia; el médico diagnostica diabetes mellitus tipo 2, indicando glimepirida. ¿A qué familia de drogas antidiabéticas pertenece?",Sulfonilureas,Metformina,Glitazonas,Glifozinas,A,Sulfonilureas
94,"Adulto mayor acude a un establecimiento de salud I-1, se le capta para realizar su cuidado integral. ¿Qué tipo de valoración clínica del adulto mayor (VACAM) le corresponde?",Corta,Breve,Completa,Integral,B,Breve
95,Las dimensiones del clima organizacional son las características susceptibles de ser medidas en una organización y que influyen en el comportamiento de los individuos. Una de las más importantes dimensiones se refiere al nivel de colaboración que se observa entre los empleados en el ejercicio de su trabajo y en los apoyos materiales y humanos que éstos reciben de su organización. ¿Cuál es esa dimensión?,Estructura,Confort,Conflicto y cooperación,Comunicación,C,Conflicto y cooperación
96,"La definición de caso de enfermedad diarreica persistente, es la que se presenta con un cuadro diarreico que inicia con una diarrea aguda infecciosa, pero se prolonga por ...... días o más.",07,10,21,14,D,14
97,"Niño de 6 meses de edad, traido a su control de crecimiento y desarrollo al centro de salud de Paracas donde usted labora. Examen peso: 8 Kg. Hb: 10.8 g/dl. De acuerdo a la norma técnica de anemia 2024. ¿Cuál es la dosis de suplementación en mg indicada?",16,40,24,32,A,16
98,"Mujer de 75 años con diagnóstico de insuficiencia cardiaca y diabetes mellitus 2, recibiendo el siguiente tratamiento farmacológico: losartán 50 mg c/24 h, espironolactona 25 mg c/24 h, bisoprolol 5 mg c/24 h, metformina 850 mg c/24 h. Resultados de control de laboratorio: Na: 140 mEq/L, K: 6.3 mEq/L, glucosa: 90 mg/dL. ¿Cuáles son los fármacos responsables del problema electrolítico?",Bisoprolol - espironolactona,Losartán - metformina,Losartán - espironolactona,Metformina - espironolactona,C,Losartán - espironolactona
99,"Confirma o refuta los datos preliminares, solidifica las conclusiones y asienta las bases para la generalización científica o estadística de los resultados a la población de interés:",Comparabilidad a lo largo del estudio,Muestra adecuada y representativa,Definición clara y precisa del objetivo,El adecuado análisis de datos,D,El adecuado análisis de datos
100,Al conjunto al que se le quiere medir la distribución de variables en toda investigación se le conoce como:,Muestra,Variable,Parámetro,Población,D,Población
