N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
52,"Joven de 24 años, G2P1011, acude por presentar secreción vaginal líquida, grisácea, pegajosa, abundante y con mal olor; no uso de MAC. AMEU hace un año. Examen: FC: 72 X’; FR: 17 X’; T°: 36.5 °C; PA: 110/60 mmHg. Especuloscopía: hallazgos congruentes con los descritos. Prueba de aminas con KOH presente (a pescado). ¿Cuál es el diagnóstico?",Uretritis,Vaginosis bacteriana,Tricomoniasis,Candidiasis,B,Vaginosis bacteriana
53,"Un estudio de investigación, que no se realiza sobre datos primarios, sino que utiliza los datos recogidos previamente en otros estudios. ¿A qué tipo de estudio hace referencia?",Cohortes,Analítico,Descriptivo,Revisión sistemática,D,Revisión sistemática
54,En una comunidad se desea evaluar la incidencia de una determinada enfermedad. ¿Cuál de las medidas de efecto se debe aplicar?,Riesgo absoluto,Odds Ratio,Riesgo relativo,Número de pacientes necesario a tratar (NNT),A,Riesgo absoluto
55,"Paciente que acude a su establecimiento de salud, con una glicemia en ayudas de 201 mg/dl, baja de peso, polidipsia y polifagia; el médico diagnostica diabetes mellitus tipo 2, indicando glimepirida. ¿A qué familia de drogas antidiabéticas pertenece?",Glitazonas,Glifozinas,Sulfonilureas,Metformina,C,Sulfonilureas
56,"La definición de caso de enfermedad diarreica persistente, es la que se presenta con un cuadro diarreico que inicia con una diarrea aguda infecciosa, pero se prolonga por ...... días o más.",14,21,10,07,A,14
57,"¿Es un instrumento que facilita el enfoque sistémico familiar en atención a la persona y proporciona una visión rápida e integrada de los problemas biomédicos y psicosociales, además de establecer las relaciones familiares?",Tipología familiar,Círculo familiar,Apgar familiar,Genograma,D,Genograma
58,¿Cuál de los siguientes fármacos atraviesa la barrera placentaria y tiene riesgo de alcanzar concentraciones elevadas en el feto?,Amoxicilina,Diazepam,Omeprazol,Fluconazol,B,Diazepam
59,"¿Cuál es el criterio epidemiológico de causalidad, que define que la coherencia interna de la asociación depende de la existencia de una relación unidireccional de la curva de dosis-respuesta entre el factor y la enfermedad?",Ausencia de distorsiones metodológicas,Gradiente biológico,Consistencia de los resultados,Evidencia experimental,B,Gradiente biológico
60,"Gestante de 25 años G1P000; EG: 40 semanas por FUR, en período expulsivo hace 2 horas. Examen: FC: 84 X’; FR: 22X’; T°: 36.6 °C; PA: 100/60 mmHg. Examen: AU: 36 cm. Feto: LCD. FCF: 132 X’. MF: ++/++. TV: D:10 cm; I: 100%; AP: -2; M: rotas (LM Fluido); VPPF: OIIA. A la reevaluación: FC: 112 X’; FR: 25 X’; T°: 36.6 °C; PA: 80/50 mmHg. Las contracciones uterinas han cesado y se palpan partes fetales fácilmente. FCF: 86 X’. ¿Cuál es el diagnóstico más probable?",Parto obstruido,Muerte fetal,Trabajo de parto disfuncional,Ruptura uterina,D,Ruptura uterina
61,De los factores relativos a las pruebas; el que se relaciona con la operatividad de las pruebas es la…,sensibilidad.,susceptibilidad.,validez.,aceptabilidad.,D,aceptabilidad.
62,"Herramienta de gestión para los cuidados integrales en la RIS, que define las condiciones necesarias para asegurar la integralidad y longitudinalidad, de las personas, familias y comunidades en diferentes escenarios. ¿A qué corresponde?",Modelo de cuidado integral,Vías de cuidados integrales de salud,Equipo multidisciplinario de salud,Modelo de atención integral,B,Vías de cuidados integrales de salud
63,"El equipo de gestión de la calidad de un establecimiento de salud, desea hacer un plan de mejora continua de los servicios del establecimiento. Para tal fin, indica a los jefes de cada servicio realizar un diagnóstico situacional de su área como línea de base; teniendo en cuenta aspectos de análisis de intorno, entorno. ¿Qué herramienta utilizaría Ud. para realizar el diagnóstico situacional?",Matriz de la problematización,FODA,Matriz de causa efecto,Árbol de problemas,B,FODA
64,La pre diabetes se puede identificar a través de la glicemia en ayunas con un valor entre ...... mg/dl.,130-200,60 - 80,200 - 250,100-125,D,100-125
65,"El director de la DIRIS descubre que un personal CAS contratado como técnico asistencial y estudiante de una carrera universitaria de salud, viene realizando actividades de un profesional; al ser descubierto indica que dichas funciones fueron otorgadas por su jefe inmediato superior. ¿A quién se debe sancionar?",Al responsable de recursos humanos,Al responsable de la DIRIS,Al jefe del establecimiento de salud,Al jefe inmediato,D,Al jefe inmediato
66,¿Cuál es la etapa donde el curso de la enfermedad va desde el influjo de los factores causales hasta las primeras manifestaciones clínicas inespecíficas?,Subclínica,Prepatogénica,Prodrómica,Clínica,A,Subclínica
67,¿Cuántos macroprocesos se evalúan para la acreditación de un establecimiento del primer nivel de atención I-4?,18,28,22,20,C,22
68,Para determinar la magnitud de la faringoamigdalitis aguda en la población pediátrica de su localidad utilizando los criterios de Centor. ¿Qué tipo de estudio usaría?,Analítico experimentale,Descriptivo transversal,Analítico observacional,Descriptivo longitudinal,B,Descriptivo transversal
69,"Adulto mayor acude a un establecimiento de salud I-1, se le capta para realizar su cuidado integral. ¿Qué tipo de valoración clínica del adulto mayor (VACAM) le corresponde?",Integral,Breve,Completa,Corta,B,Breve
70,En la relación clínica médico-paciente de acuerdo a la ética. ¿Cuál es el principio que rige?,Jurisprudencia,Justicia,Autonomía,No-maleficencia,D,No-maleficencia
71,"¿Cuál es el criterio que determina: ""el grado en el que un programa de salud puesto en práctica logra lo que se pretende conseguir en una población determinada""?",Eficiencia,Efectividad,Eficacia,Factibilidad,B,Efectividad
72,Dentro de la ración de alimentos del PCA-PANTBC. ¿Cuál es el porcentaje de los requerimientos nutricionales calórico- proteicos al mes?,50,60,40,30,A,50
73,Las dimensiones del clima organizacional son las características susceptibles de ser medidas en una organización y que influyen en el comportamiento de los individuos. Una de las más importantes dimensiones se refiere al nivel de colaboración que se observa entre los empleados en el ejercicio de su trabajo y en los apoyos materiales y humanos que éstos reciben de su organización. ¿Cuál es esa dimensión?,Conflicto y cooperación,Comunicación,Estructura,Confort,A,Conflicto y cooperación
74,"El responsable de capacitación del establecimiento de salud solicita el plan de capacitación a cada servicio. Para ello el encargado del servicio de medicina se reúne con su personal, para realizar el análisis FODA y necesidades de capacitación. ¿Qué componente pertenece al análisis interno?",Oportunidades,Competencias,Fortaleza,Amenazas,C,Fortaleza
75,"Gestante que acude a un establecimiento de salud, procedente de una comunidad de la costa norte, presenta fiebre alta, cefalea, dolor retro ocular, mialgias; después de la evaluación realiza su diagnóstico de dengue. ¿A qué grupo pertenecería para iniciar tratamiento?",C,A,B2,B1,D,B1
76,"En el SERUMS, el profesional de salud al ingresar al establecimiento de salud. ¿Qué es lo primero que debe realizar para poder desarrollar el Plan Operativo Institucional?",Análisis poblacional,Recoger el informe anterior,Presentarse con el director,Análisis situacional,D,Análisis situacional
77,Estudiando la prevalencia de anemia en 2020 en la población de Huancavelica encontramos que mantienen patrones culturales asociados a ingestas deficientes y aunadas a costumbres alimentarias de la región. ¿Qué aspecto de la interculturalidad vienen desarrollando?,Derechos humanos,Medicina holística,Bioética,Etnocentrismo,D,Etnocentrismo
78,¿Cuál de las siguientes acciones forma parte de una prevención específica?,Propicia la actividad física en la comunidad,Incrementa la cobertura en el programa de inmunización,Sensibiliza a la población la no ingesta de alcohol,Promueve el uso de condón,B,Incrementa la cobertura en el programa de inmunización
79,"Luego del proceso de evaluación SERUMS, se le asigna laborar en un establecimiento de salud I-2, con una población asignada de 2550 personas. De acuerdo a normativa vigente. ¿Con qué personal de salud debe contar el establecimiento?","Médico, enfermera, biólogo, agentes comunitarios","Médico, enfermera, obstetra y técnico de enfermería","Enfermera, obstetra y técnico de enfermería","Médico, enfermera y auxiliar de enfermería",B,"Médico, enfermera, obstetra y técnico de enfermería"
80,"Cuando nos referimos a toda acción o actividad que realizan los otros profesionales de la salud para la promoción, prevención, recuperación y rehabilitación de la salud, según corresponda, que se brinda al paciente, familia y comunidad, hablamos de:",Auditoría,Atención de salud,Acto de salud,Acto médico,C,Acto de salud
81,¿Cuál es el recurso que utiliza el investigador para registrar información o datos sobre las variables estudiadas?,Aparatos y equipos,Instrumento de medición,Medida de estabilidad,Recolección de datos,B,Instrumento de medición
82,"Gestante llega al centro materno infantil, aproximadamente a las 11 pm, durante el proceso de la atención del parto, el bebé cae al balde de desecho provocándole luxación de la clavícula. El equipo de guardia inmediatamente procede a realizar la atención correspondiente, siendo derivado a un establecimiento de mayor capacidad resolutiva. El jefe del establecimiento solicita una auditoría. ¿Qué comité de auditoría se activará para este caso?",Comité de Auditoría en Salud,Consejo de Auditoría profesional,Comité de Auditoria Médica,Consejo de Auditoría Médica,A,Comité de Auditoría en Salud
83,"Mujer de 20 años procedente de Chosica, presenta fiebre hace 7 días, cefalea, dolor muscular; ingresa a emergencia por dolor abdominal. Examen: PA: 70/50 mmHg, Sat O2: 89%, FC: 102 X', FR: 27 X'; afebril, luce deshidratada y decaída. AR: MV pasa en ACP; CV: RC taquicárdicos de buena intensidad; abdomen: RHA presentes, hígado de 15 cm de span hepático; SNC: somnolienta. ¿Cuál es su diagnóstico probable?",Dengue sin signos de alarma,Dengue con signos de alarma,Dengue grave,Dengue,C,Dengue grave
84,¿Cuál es la ciencia que nos proporciona la metodología apropiada para investigar y contextualizar los problemas y situaciones de salud?,Estadística,Epistemología,Epidemiología,Ética,C,Epidemiología
85,"En una visita domiciliaria se encuentra que en la familia Zegarra, el padre de 42 años es diabético de 10 años de evolución; el hijo mayor de 16 años tiene IMC: 27, glicemia en ayunas de 130 mg/dl; madre de 34 años tiene IMC: 23. El médico recomienda dieta hipocalórica e hipograsa. Esta medida está en nivel de prevención:",Cuaternaria,Secundaria,Primaria,Terciaria,C,Primaria
86,"Paciente de 20 años, HSH, presenta fiebre y rash hace una semana. Antecedente de secreción uretral amarillenta hace 2 semanas, le diagnosticaron descarga uretral y no tomó el tratamiento; luego tuvo RS. Examen: PA: 120/70 mmHg, FC: 90 X', T°: 38.5 °C; rash en el cuerpo; AR: MV pasa en ACP; CV: RC regulares y rítmicos; hígado: 13 cm de span hepático. ¿Cuál es el diagnóstico más probable?",Sífilis secundaria,Meningococemia,Gonococemia,VIH aguda,C,Gonococemia
87,"Acuden a la emergencia médica, de un hospital de alta complejidad, dos pacientes provenientes de la selva peruana, ambos afiliados al Seguro Integral de Salud; uno de ellos viene con su respectiva referencia y el otro no. ¿Qué le corresponde hacer al médico tratante de la emergencia?",Derivar al paciente que no tiene referencia a su jurisdicción,Deriva a la asistenta social para que evalue el caso,Atender a los dos pacientes por igual,Atender solo al que cuenta con la respectiva referencia del SIS,C,Atender a los dos pacientes por igual
88,"En una reunión de la Microred Pinchollo, se hace una evaluación de cumplimiento de indicadores FED; donde para el indicador ""porcentaje de niñas y niños de 12 a 18 meses, con diagnóstico de anemia entre los 6 y 11 meses, que se han recuperado"", del centro de salud de Agua Dura no se registra ningún niño con anemia como recuperado. ¿Dónde está el problema?",Incorrecto registro de niños en los hospitales,Registro incorrecto de CVN,Error en el registro de HIS,Perdida del DNI del niño,C,Error en el registro de HIS
89,"¿Cuál es un ámbito que se debe considerar, en un foco ampliado del modelo integral de atención, encargada de las actividades de diagnóstico precoz y tratamiento oportuno?",Consulta ambulatoria,Urgencias y observación,Medicina en domicilio y comunidad,Hospitalizaciones,A,Consulta ambulatoria
90,"Una paciente con dengue acude a UVICLIN del centro de salud de su comunidad, se le clasifica en el grupo B2 de acuerdo a normativa vigente, el tratamiento con solución salina normal al 0.9% indicado es de ...... ml/Kg de peso en una hora.",20,15,10,5,C,10
91,"Paciente de 20 años procedente de Camporedondo - Amazonas, presenta fiebre, ictericia y decaimiento hace 10 días acude a emergencia por escalofríos. Examen: PA: 100/70 mmHg, FC: 90 X’, Sat O2: 96% T°: 37,8 °C; AR: MV pasa en ACP; hígado: 15 cm de span. Laboratorio: formas cocobacilares de Bartonella. ¿Cuál es su diagnóstico?",Dengue,Enfermedad de carrión,Leptospirosis,Malaria Vivax,B,Enfermedad de carrión
92,"Mujer de 30 años que, al día siguiente de recibir la vacuna contra la neumonía, refiere fiebre, cefalea y mialgias; dos días después presenta vómitos y diarrea. Sin evidencia de mejora, consulta en un centro de salud y se decide su internamiento. ¿Qué tipo de ESAVI es?",Grave,No grave,Leve,Moderado,A,Grave
93,¿Cuál de los siguientes enunciados está implicado en la gobernanza en salud pública?,Formación de todo tipo de capital,Transparencia sin rendición de cuentas,Visión estratégica y ética de la salud,Responsabilidad de los actores institucionales exclusivamente,C,Visión estratégica y ética de la salud
94,"¿Cuál es la gestión del proceso que permite a las entidades socializar y facilitar la interrelación y adaptación de manera planificada de las personas que ingresan a un puesto de la entidad, de forma que se le brinde la información relacionada al funcionamiento general del estado, a su institución, a sus normas internas y a su puesto?",Capacitación,Reunión,Inducción,Taller,C,Inducción
95,"Nos reportan casos de tos ferina en una comunidad de la selva hace 3 días, es el primer caso que es captado por el servicio de salud. ¿A qué tipo de caso corresponde?",Sospechoso,Índice,Primario,Secundario,B,Índice
96,"¿Cómo se define cuando los pacientes reciben la medicación adecuada a sus necesidades clínicas, en las dosis correspondientes a sus requisitos individuales, durante un período de tiempo adecuado y al menor costo posible para ellos y para la comunidad?",Estudios clínicos,Seguimiento farmacoterapéutico,Uso racional de medicamentos,Atención farmacéutica,C,Uso racional de medicamentos
97,"En bioestadística, las observaciones cuantitativas que brindan datos discretos corresponden a ...",valor que se puede dividir en fracciones entre dos puntos cualquiera.,un número infinito de fracciones entre dos puntos de la escala.,valor que se puede dividir en infinitos valores entre dos puntos cualquiera.,valores individuales que sólo aceptan números enteros.,D,valores individuales que sólo aceptan números enteros.
98,Cuando el evento definitivamente no está relacionado a la vacuna y se identifica una etiología o patología que explica de manera razonable el cuadro clínico (enfermedad producida por otra etiología). ¿A qué tipo de ESAVI corresponde?,Inmunización,Evento no concluyente,Evento coincidente,RAM,C,Evento coincidente
99,"En consulta a paciente adolescente el médico realiza la evaluación antropométrica; al tomar pliegues cutáneos y perímetros, no realiza consentimiento informado. ¿Qué principio ético está vulnerando?",Beneficencia,Justicia,No maleficencia,Autonomía,D,Autonomía
100,¿Cuál es la cantidad de consumo de sodio recomendado por la Organización Mundial de la Salud (OMS) y la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO)?,8 mg/día,<5 g/día,>7 g/día,6 g/día,B,<5 g/día
