N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
15,"En el centro de salud Corazón de María se recibe a un niño de 3 años de edad, quien es traído por su madre, se le diagnostica enfermedad diarreica con deshidratación y se decide hidratarlo vía parenteral, sin embargo la madre se niega a que inicie el tratamiento, y por el contrario solicita el formato de retiro voluntario. ¿Qué debe contener este documento?",El texto a redactar en el formato debe consignar solo el diagnóstico y el tratamiento indicado,No se necesita consignar los datos del personal de salud que indicó el tratamiento porque no se pudo iniciar,Se necesita la autorización del jefe del establecimiento para poder efectuar el retiro voluntario,Datos de identificación de la persona legalmente responsable que solicita el alta en caso que no fuera el paciente,D,Datos de identificación de la persona legalmente responsable que solicita el alta en caso que no fuera el paciente
16,"En la Resolución Ministerial de Julio 2026, se clasificaron las emergencias según el grado de prioridad de atención y se establecieron intervalos de tiempos para la atención. El tiempo a considerar en Prioridad II es no mayor de:",60',30',20',10',D,10'
17,"El profesional de la salud que trabaja en el primer nivel de atención, para prevenir las enfermedades no trasmisibles, identifica a las familias priorizadas brindando información en un componente del paquete básico como ……  y en un componente del paquete completo como…",detección de diabetes / evaluación de la diabetes.,alimentación saludable / salud ocular.,tamizaje ocular / control de errores refractivos.,despistaje de catarata / diagnóstico de ceguera.,B,alimentación saludable / salud ocular.
18,"Se desea realizar un estudio de indicadores de salud en inmigrantes ilegales asentados en una comunidad fronteriza; pero, al desconocerse su número y localización, se dificulta un muestreo representativo. En su defecto. ¿Qué tipo de muestreo no probabilístico utilizaría?",Por conglomerados,En bola de nieve,Por cuotas,Según criterio de experto,B,En bola de nieve
19,"El médico y el equipo de gestión del centro de salud Arena Blanca, categoría I-4, ubicado en la zona altoandina del sur del país, luego del análisis FODA de su jurisdicción logra determinar que la participación de agentes comunitarios en las actividades de control de vectores constituye una de sus...",ventajas.,alianzas.,fortalezas.,oportunidades. 09 de agosto 2026,C,fortalezas.
20,"El uso de mascarilla N95, antisepsia con alcohol gel, uso de guantes desechables, de EPP; según grupo de exposición. Son recomendaciones para contactos con riesgo de contraer:",Influenza A (H1N1),Gardnerella sp,Escherichia coli,Clostridium tetani,A,Influenza A (H1N1)
21,"¿Ante qué tipo de problema estamos, si se recoge información que nos permite saber cómo están los problemas en términos de frecuencia, características, condiciones y prevalencia?",Causal,Descriptivo,Explicativo,Predictivo,B,Descriptivo
22,"Gestante de 32 semanas no controlada, es captada por el profesional de la salud en las actividades extramurales, recomienda iniciar el control prenatal y completar el esquema de vacunación. ¿Cuál es la primera vacuna a indicar?",Sarampión y rubeola,Neumococo y hepatitis A,Virus del papiloma humano,Virus respiratorio sincitial,D,Virus respiratorio sincitial
23,"El profesional de la salud antes de realizar las actividades de vacunación debe contar con el kit de ESAVI para situaciones de emergencia: ampollas de epinefrina, frasco de Hidrocortisona y ampollas de clorfenamina. La epinefrina 1:1000 se aplica vía intramuscular. ¿Cuál es la dosis indicada en mg/Kg de peso?",0.01,0.001,0.02,1,A,0.01
24,"Lactante de 3 meses, desde hace tres días presenta rinorrea, tos y alza térmica, fue diagnosticada de rinofaringitis viral, madre lo trae a urgencias por dificultad para lactar. Examen: FC:140X'; FR: 70X'; T°: 37.8 °C; tórax: retracción subcostal, crepitantes, sibilancias espiratorias; APCV: RCR no soplos; abdomen: no visceromegalia; neurológico: sensorio alerta. Usted diagnostica bronquiolitis aguda. Según ESBA (Score Escala de Severidad de la Bronquiolitis Aguda). ¿Cuál es la indicación médica más adecuada?",Manejo ambulatorio,Monitoreo domiciliario,Iniciar antibióticos,Referir a hospital,D,Referir a hospital
25,"En una comunidad altoandina, se presentan varios casos de rubéola; una gestante de 7 semanas expuesta, acude al establecimiento de salud sin síntomas. Según la historia natural de la enfermedad. ¿En qué momento del proceso se encuentra?",Clínico,Resolutivo,Subclínico,Inducción,C,Subclínico
26,"En un EESS, un personal de salud ha sido diagnosticado con TB; por tanto, tiene derecho a una licencia ...",con goce de remuneraciones.,sin goce de remuneraciones.,a cuenta de periodo vacacional.,las fechas de su cita médica.,A,con goce de remuneraciones.
27,"Mujer de 13 años traída por madre a centro de salud solicitando examen médico rutinario por estar en crecimiento, usted realiza las prestaciones para identificar factores de riesgo del adolescente. ¿Qué actividad fortalece los factores protectores de los adolescentes?",Consejería,Evaluación Tanner,Examen de agudeza visual,Evaluación postural,A,Consejería
28,"El jefe de una zona sanitaria, en reunión con sus coordinadores de estrategias y el comité multisectorial, definen las condiciones futuras que esperan lograr, enunciados claros y precisos de los resultados en salud que se esperan obtener. Esto es un ejemplo de:",Análisis situacional,Análisis estratégicos,Objetivos estratégicos,Manual de operaciones,C,Objetivos estratégicos
29,"En el siglo XX en los registros civiles; se retiró la categoría “raza” para visibilizar a los indígenas dentro del sistema de salud y otras prestaciones del estado. Al no incluirse la pertenencia ...... en los registros de los servicios de salud, se torna imposible distinguir dentro de los agregados epidemiológicos, el estado de salud de la población indígena.",étnica,cultural,identidad,religiosa 09 de agosto 2026,A,étnica
30,¿Qué deber de la función pública está cumpliendo el servidor público que no adopta represalia de ningún tipo o ejerce coacción alguna contra otros servidores públicos u otras personas?,Ejercicio adecuado del cargo,Responsabilidad,Discreción,Transparencia,A,Ejercicio adecuado del cargo
31,"Mujer de 18 meses presenta desde hace 4 días alza térmica, rinitis, inyección conjuntival y exantema. Antecedentes: parto eutócico, sin cobertura vacunal, hija de migrantes.  Examen: FC: 100X', FR: 20X', T°: 37°C; Sa02: 98%. Exantema maculo-papular confluente en cara cuello, rinorrea y congestión ocular; cavidad oral: manchas de Koplik. Según su diagnóstico clínico más probable. ¿Cuál es la intervención prioritaria para evitar secuelas?",Antivirales,Inmunoglobulina humana,Vitamina A retinol,Vitamina B12,C,Vitamina A retinol
32,"Varón adulto mayor, residente en Pucallpa, ingresa por emergencia al EESS, refiere que hace 3 días llegó a Lima; desde hace un día presenta malestar general, fiebre y hoy náuseas, vómitos y diarreas. El médico evalúa y solicita examen de laboratorio. ¿Cómo debe ser el llenado de la ficha clínico-epidemiológica?",Después de los resultados,En la segunda consulta,Inmediatamente,Cuando lo solicite la RIS,C,Inmediatamente
33,"Madre acude con su niña de 4 años de edad, al servicio de urgencias del Centro de Salud Santa Rosa, por presentar los siguientes signos y síntomas: fiebre 39 °C, malestar general, irritabilidad, dolor, tumefacción y enrojecimiento en el hombro. A la evaluación del caso, madre manifiesta que su niña fue vacunada el día anterior con la vacuna DPT. De acuerdo a la clasificación de caso de ESAVI es un evento …",coincidente.,relacionado con error programático.,relacionado con la vacuna.,no concluyente.,C,relacionado con la vacuna.
34,"Es la probabilidad de producir efectos nocivos para el individuo, ocasionadas por animales o plantas en un desastre natural, desequilibrando el proceso salud-enfermedad. ¿A qué tipo de riesgo se refiere?",Epidémico,Ambiental,Biológico,Social,C,Biológico
35,"En el informe de investigación, la parte que contiene de manera suscinta toda la información de la investigación realizada y tiene un límite de palabras, se denomina:",Introducción,Discusión,Conclusiones,Resumen,D,Resumen
36,"¿Cómo se le denomina al modelo de atención centrado en la comunidad, que fomenta la promoción y protección de la salud mental, continuidad de cuidados de las personas, familias y colectividades con problemas psicosociales y/o trastornos mentales, con la participación protagónica de la propia comunidad?",Cuidado integral por curso de vida,Comunitario de salud mental,Tradicional territorial,Convencional de la salud mental,B,Comunitario de salud mental
37,"Personal de salud, en visita a su sector, brinda consejería para evitar la presencia del vector, como el cuidado de recipientes de almacenamiento de agua (tapado y limpieza) y eliminación adecuada de criaderos del zancudo en casa. Esto forma parte de:",Medidas preventivas,Intervención epidemiológica,Detección de casos,Fumigación domiciliaria,A,Medidas preventivas
38,"¿Cómo se le define a la situación en la que todas las personas puedan ejercer sus derechos, aprovechar sus habilidades y tomar ventaja de las oportunidades que se encuentran en su medio?",Inclusión social,Programa social,Identidad cultural,Salud intercultural 09 de agosto 2026,A,Inclusión social
39,"Se necesita realizar un estudio descriptivo en la comunidad de Tornameza-Huarochirí, para conocer las características de la población que acude a nuestro establecimiento de salud. ¿Cuál de las siguientes investigaciones cumple las características de un estudio descriptivo?",Aspectos y características de las viviendas de la población estudio,Relación del tipo de vivienda con los ingresos mensuales por familia de la población estudio,Efectos de un temblor según el tipo de vivienda en la población estudio,Efectos del tipo de vivienda en la morbilidad familiar de la población estudio,A,Aspectos y características de las viviendas de la población estudio
40,"El equipo multidisciplinario del EESS, desarrollan actividades de forma integral, continuada, permanente y interviniendo en la comunidad con un enfoque de promoción y prevención. ¿Qué estrategia están aplicando?",Atención primaria de salud,Programas de salud pública,Salud comunitaria,Medicina de familia y comunitaria,A,Atención primaria de salud
41,"En un establecimiento de salud de la zona altoandina del sur del país, un médico serumista registra un incremento inusual de casos de diarreas mucosanguinolentas persistentes en pacientes menores de 5 años, en el sector cercano a un drenaje. ¿Cuál es el tipo de vigilancia a realizar?",Dirigida,Específica,Centinela,Selectiva,C,Centinela
42,"Personal de salud realiza una visita domiciliaria de control y seguimiento a una familia de 8 integrantes, de los cuales 4 reciben tratamiento para TBC porque hicieron la enfermedad por factores predisponentes y desencadenantes; sin embargo los otros miembros a pesar de estar expuestos no tienen la enfermedad. ¿Cuál es el tipo de relación causal?",Necesaria y suficiente,Necesaria pero no suficiente,Causa suficiente y no necesaria,Causa no necesaria ni suficiente,B,Necesaria pero no suficiente
43,"El profesional de la salud en el examen físico del niño, identifica fiebre >7 días sin causa conocida, adenopatías >2.5 cm, no dolorosas, sin signos de inflamación. La presencia de los siguientes signos hace sospechar de …",cáncer infantil.,tuberculosis infantil.,tumoración benigna.,fiebre reumática.,A,cáncer infantil.
44,"La investigación en salud se ha definido como la generación de conocimientos nuevos mediante la aplicación del ...... , a fin de identificar y hacer frente a los problemas de salud, de tal manera que no solo se limita al campo biomédico.",método científico,método estadístico,análisis epidemiológico,análisis poblacional,A,método científico
45,"El líder del equipo de salud de la localidad, decide fomentar el cuidado integral de salud por curso de vida (MCI) y coordina con el personal realizar visitas domiciliarias y ampliar horarios de atención en el establecimiento de salud; además de coordinar acciones para asegurar el cuidado de la salud según las necesidades de la población. ¿Qué atributos de la APS se están fortaleciendo?",Formación profesional y continuidad del cuidado,Primer contacto y accesibilidad,Coordinación e integralidad,Accesibilidad y continuidad del cuidado,D,Accesibilidad y continuidad del cuidado
46,"Varón de 68 años acude al establecimiento, siendo atendido por el profesional de la salud capacitado, aplica la valoración clínica del adulto mayor corta: como la valoración funcional, mental, nutricional y sociofamiliar. ¿En qué categorías de establecimientos se brinda esta atención?",II-1 y II-2,"III-1, III-2 y III-E","I-2, I-3 y I-4",ll-E,C,"I-2, I-3 y I-4"
47,"El plan multisectorial de lucha contra la anemia plantea la articulación ...... de intervenciones efectivas a cargo de los sectores de salud, educación, vivienda, agricultura, producción, cultura y transporte, en el marco de sus funciones y competencias.",institucional,intercultural,internacional,intersectorial 09 de agosto 2026,D,intersectorial 09 de agosto 2026
48,"¿Quién se encarga de elaborar el plan local de salud quien, además de establecer las metas sanitarias y sobre los determinantes de la salud, define también la asignación de recursos y la participación de los diferentes actores institucionales y sociales del ámbito territorial?",La autoridad local de salud,Promotor de salud,Coordinador de estrategia,Inspector en salud,A,La autoridad local de salud
49,"Con respecto al enfoque causal en salud la determinación de inferencias causales, derivado de los criterios de Hill. ¿Qué evalúan el riesgo relativo indirecto (OR) y el riesgo relativo (RR)?",Temporalidad,Fuerza de la asociación,Especificidad,Coherencia,B,Fuerza de la asociación
50,"En cuanto a salud ocupacional, hablamos de riesgo profesional cuando existe la posibilidad de sufrir un accidente y/o enfermedad...",sin vínculo laboral vigente.,durante sus vacaciones.,durante una actividad cotidiana.,con vínculo laboral vigente.,D,con vínculo laboral vigente.
51,"En la jurisdicción de San José existe presencia de Aedes aegypti, con casos importados de dengue, sin casos autóctonos de dengue. ¿Cuál es el escenario?",III-brote,III-endémico,II,I,C,II
52,"La suplementación preventiva para anemia en adolescentes y mujeres en edad fértil se inicia cuando la hemoglobina es ≥ 12 g/dL, 2 veces por semana por un periodo de 3 meses, cada año. La dosis recomendada de hierro elemental + ácido fólico es …",300 mg + 100 ug.,120 mg + 400 ug.,30 mg + 100 ug.,60 mg + 400 ug.,D,60 mg + 400 ug.
53,"Si se brinda asesoría y apoyo a las personas de 18 años a más, que se encuentran en alto riesgo de contraer VIH, HSH, MT, TS o son parejas serodiscordantes, que no tienen VIH, no han tenido exposición de riesgo al VIH en las últimas 72 horas y que por decisión voluntaria acuden al C.S. ¿A qué actividad corresponde?",Pruebas de tamizaje para VIH,Accesos a preservativos y lubricantes,Profilaxis pre exposición (PrEP),Pruebas de sífilis y hepatitis B y C,C,Profilaxis pre exposición (PrEP)
54,"En un EESS un personal de salud ha denunciado a la dependencia superior la sobrecarga de trabajo, comunicaciones deficientes, programación de turnos poco equitativos que le ha provocado estrés laboral. ¿A qué factor de riesgo de seguridad y salud del trabajo se refiere?",Físico,Biológico,Ergonómico,Psicosocial,D,Psicosocial
55,"Es muy importante que la consejería en lactancia materna se inicie desde el embarazo, por lo que las gestantes a partir de las …… semanas conocen la importancia y manejo de la lactancia materna y de esta forma incrementan su propia confianza y seguridad.",20,24,28,32,D,32
56,"Al proceso que exige sistematización del pensamiento; además es la manera ordenada de desarrollar el pensamiento reflexivo y de investigación, se le denomina:",Sistematización metodológica,Método científico,Investigación científica,Identificación del área problema,B,Método científico
57,"Mujer de 66 años, viene al EESS en compañía de familiar, presentando de manera brusca, dificultad para hablar, miastenia, trastorno psicomotor, hemiparesia derecha, parálisis facial derecha, caída de la comisura labial. Es evaluada por médico de turno, quien indica su referencia inmediata. Familiar se opone y no acepta la referencia. Según la gravedad del caso. ¿Qué medida de urgencia debe tomar el médico?",Citarlo para el día siguiente,Explicar que no perderá su derecho de atención,Solicitar la intervención del ministerio público,Obligar a que acepte la referencia 09 de agosto 2026,C,Solicitar la intervención del ministerio público
58,"A la capacidad de mantener a la organización productiva, eficiente y eficaz, a partir del uso adecuado de su recurso humano, teniendo como objetivo a las personas y sus relaciones en la organización. Se le denomina:",Gestión de compensación,Cultura organizacional,Clima organizacional saludable,Gestión de recursos humanos,D,Gestión de recursos humanos
59,"En un establecimiento de salud llega un paciente lactante de 11 meses de edad cuya madre refiere vómitos y diarrea, a la evaluación por triaje no presenta signos de deshidratación, de acuerdo al listado de daños según prioridad de atención se considera:",Prioridad II: emergencia que debe ser atendido en un tiempo no mayor a 10 minutos desde su evaluación por triaje,Prioridad I: gravedad súbita extrema debe atenderse de inmediato,"Prioridad V: no urgencia, debe sacar cita para ser atendido por consultorio externo",Prioridad III: urgencia que debe ser atendido en un tiempo no mayor a 30 minutos desde su evaluación por triaje,D,Prioridad III: urgencia que debe ser atendido en un tiempo no mayor a 30 minutos desde su evaluación por triaje
60,"En el análisis de datos de una investigación, la ...... es uno de los tipos de medidas de tendencia central que informan el valor más representativo de la muestra, definida por el valor de la variable que se repite con más frecuencia.",varianza,moda,mediana,media,B,moda
61,¿Cuál es la complicación tardía y fatal del Sarampión?,Panencefalitis esclerosante subaguda,Encefalitis aguda post infecciosa,Ceguera,Neumonía,A,Panencefalitis esclerosante subaguda
62,"Se asigna nuevo jefe en un EESS del primer nivel de atención; al llegar percibe insatisfacción y quejas de los trabajadores sobre el ambiente de trabajo.  Es por ello, que decide hacer gestión del ...... dividido en tres fases: planificación, intervención y evaluación; para promover un ambiente de trabajo agradable y así el logro de objetivos institucionales.",ambiente laboral,trabajo en equipo,desarrollo profesional,clima organizacional,D,clima organizacional
63,"En un EESS nivel I-2 se desea conocer la prevalencia de obesidad en niños menores de 10 años; por lo cual, necesitamos recopilar datos antropométricos, hábitos alimenticios, ejercicio físico, escolaridad y relación familiar con variables que sean medibles. ¿Qué tipo de investigación sería la más conveniente aplicar en esta población?",Descriptiva,Analítica,Pre experimental,Explicativa,A,Descriptiva
64,"En el último decenio, se incrementó la autoatención de salud, porque los usuarios prefieren ocuparse más activamente de su propia salud y los pacientes que sufren determinados trastornos crónicos, se inclinan a utilizar preparaciones herbarias, acupuntura y terapias manuales tales como la quiropráctica. Este tipo de prácticas de refiere a …",tratamiento paliativo.,medicina tradicional y complementaria.,tratamiento oriental.,tratamiento alternativo.,B,medicina tradicional y complementaria.
65,"En un establecimiento de salud en Chiclayo se ha reportado incremento de casos de pacientes febriles y pacientes con lesiones eruptivas en piel, tanto en niños como en adolescentes, ambos en relación a la semana epidemiológica previa y en relación a la misma semana epidemiológica del año anterior. ¿Qué enfermedades debe priorizar para vigilancia epidemiológica?",Leishmaniasis y bartonelosis,Tifoidea y rubeola,Piodermitis e impétigo,Dengue y sarampión,D,Dengue y sarampión
66,En el CS se ha determinado un problema de investigación para lo cual se ha desarrollado un cuestionario estructurado para ser aplicado al estudio de niños con anemia para determinar la cantidad de casos y tipos de anemia. ¿Qué es el cuestionario estructurado?,Métodos de confiabilidad,Prueba de normalidad,Propiedades psicométricas,Instrumento de recolección de datos,D,Instrumento de recolección de datos
67,Persona a quien se le diagnostica TB con compromiso del parénquima pulmonar con o sin confirmación bacteriológica. Es definición de caso...,de TB pulmonar.,probable de TB.,índice.,compatible de TB. 09 de agosto 2026,A,de TB pulmonar.
68,"El jefe del EESS, realiza una sala situacional sobre dengue, desde el enfoque de EIS (Evaluación de Impacto en Salud), la cual la difunde y analiza con el comité multisectorial. ¿Cuál es el objetivo de esta actividad?",Sensibilizar y ejecutar propuestas políticas del MINSA,Promover y garantizar políticas públicas saludables,Decidir y aplicar las propuestas del personal de salud,Planificar y ejecutar propuestas del personal de salud,B,Promover y garantizar políticas públicas saludables
69,"El consultorio de psicología necesita adquirir pruebas psicológicas para mejorar la atención de sus pacientes, para lo cual el jefe del establecimiento hace su requerimiento y sus términos de referencia. Según la normatividad vigente de contrataciones del estado. ¿Cómo se le denomina al responsable del establecimiento?",Área técnica,Órgano encargado de contrataciones,Área usuaria,Titular de la entidad,C,Área usuaria
70,El derecho del usuario en salud a contar con una segunda opinión médica. ¿A qué derecho corresponde?,Atención y recuperación en salud,Acceso a servicios de salud,Consentimiento informado,Acceso de información,B,Acceso a servicios de salud
71,"Los medicamentos ...... son aquellos medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país que han demostrado ser seguros, eficaces y costo-efectivos.",antibióticos,analgésicos,esenciales,antiinflamatorios,C,esenciales
72,"En el colegio Daniel Alcides Carrión junto con el equipo multidisciplinario del establecimiento de salud, trabajan en líneas básicas de acción, como promoción de estilos de vida, para mejorar la calidad de vida de los niños y los adolescentes. Esta practicas promueven escuelas …",saludables.,participativas.,comprometidas.,concertadas.,A,saludables.
73,"El personal profesional de la salud en el primer nivel de atención debe realizar consejería nutricional por cursos de vida, a fin de crear el hábito del autocuidado y empleo de prácticas saludables dirigidos a la familia; una de las recomendaciones que indica la OMS es: hacer lo posible porque las comidas se hagan en...",la escuela.,espacios abiertos.,su habitación.,familia.,D,familia.
74,El empoderamiento de los pueblos indígenas adquiere vigencia contemporánea y una de sus exigencias es que se incorporen al sistema de salud con una atención médica acorde con sus patrones culturales. Frente a esta problemática el profesional de la salud deberá recibir formación básica en …,atención primaria.,salud pública.,interculturalidad.,salud comunitaria.,C,interculturalidad.
75,"En el informe final de investigación debe explicarse el objeto de estudio, a través de la definición y conceptualización de sus variables, incluyendo criterios de los investigadores que se debe asumir con una determinada posición de manera esquemática. Esta parte del informe corresponde a:",Resultados y discusión,Marco teórico y conceptual,Objetivos general y específicos,Materiales y métodos,B,Marco teórico y conceptual
76,"En un EESS el equipo de farmacovigilancia identificó una RAM (reacción adversa al medicamento), para ello aplica el método de estudio más común, que se basa en la identificación de las sospechas de RAM  por parte de los profesionales de la salud en su práctica diaria y el envío al organismo central. ¿Cuál es el método aplicado?",Sistema de farmacovigilancia intensiva,Estudios epidemiológicos de casos y control,Sistema de notificaciones espontáneas,Estudios centrados en el medicamento,C,Sistema de notificaciones espontáneas
77,"Durante la pandemia del COVID-19, hubo escasez de mascarillas, test, recursos de UCI, equipos de protección personal para un determinado grupo ocupacional, exponiéndose otros profesionales a personas infectadas durante su labor, muchos de ellos llegándose a contagiar. Este conflicto de racionamiento de recursos. ¿A qué eje o principio de la ética de la salud pública pertenece?",Justicia,Humanitarismo,Deber de asistencia,Confidencialidad 09 de agosto 2026,A,Justicia
78,"La SERUMS de Enfermería del C.S. Tomas, realiza el tamizaje de control de anemia a 10 niños del centro educativo del lugar, encontrando 03 niños de 5 a 11 años, con un dosaje según hemoglobinómetro de 11.5 g/dl, 11.7 g/dl y 11.9 g/dl. ¿Cuál es la indicación de hierro elemental, para la suplementación?",300 mg en jarabe o tableta dos veces por semana por seis meses,60 mg en jarabe o tableta de manera diaria por tres meses,30 mg en jarabe de manera diaria por tres meses,60 mg en tableta o jarabe dos veces al día por un mes,B,60 mg en jarabe o tableta de manera diaria por tres meses
79,"Primigesta 36 años; 29 semanas; acude a su primer control prenatal, deberá iniciar inmediatamente su esquema de vacunación para la inmunización pasiva contra la tos ferina. ¿Qué vacuna se indicaría?",Tdap,HVA,VRS,AMA,A,Tdap
80,"Mujer de 55 años, nulípara, IMC 32, acude al establecimiento I-2 para tamizaje por examen clínico para cáncer de mama, nunca se ha realizado un chequeo. ¿Qué indica en este caso luego de la evaluación?",Referencia para mamografía,Referencia para resonancia,"Dieta, ejercicio y autoexamen",Examen clínico en 2 años,A,Referencia para mamografía
81,"Al llegar al establecimiento de salud el nuevo jefe observa que existen en el archivo historias clínicas muy antiguas y deterioradas. Por tanto, la primera acción, como procedimiento de gestión, es conservar por ...... años las historias clínicas en el archivo activo, considerando su última fecha de atención, el resto se trasladará al archivo pasivo.",3,15,10,5,D,5
82,El EESS desarrolla acciones de evaluación y mejora continua de la calidad de atención a adolescentes. La población adolescente está satisfecha con la atención y cuidados recibidos. ¿A qué tipo de proceso de evaluación pertenece?,Atención de las necesidades de salud,Empoderamiento y seguridad del adolescente,Gestión del talento humano,Gestión de la calidad,D,Gestión de la calidad
83,"La enfermera ingresa al turno y evidencia que su recipiente de punzocortantes está lleno, evidenciando riesgo de bioseguridad para todo el personal que labora en su unidad; por lo que solicita al personal técnico desechar y cambiar el recipiente por uno nuevo. Este aduce que no es necesario porque todavía falta llenar. Según las especificaciones para el cambio. ¿Cuál es el volumen máximo permitido?",Un tercio,Mitad,Lleno total,3/4 partes,D,3/4 partes
84,"¿Cuál es el servicio de salud a distancia prestado por personal de la salud competente, a través de las TIC, para lograr que estos servicios y sus relacionados, sean accesibles y oportunos a la población?",Telesalud,Teletriaje,Telemonitoreo,Teleorientación,A,Telesalud
85,"Al C.S. de Yauyos acude una gestante con diagnóstico de sífilis a la que le falta cuatro semanas para el parto. El tratamiento completo y adecuado para la prevención de sífilis congénita es con Penicilina G Benzatínica vía IM, debe administrarse una vez por semana, durante tres semanas consecutivas. ¿Cuál es la dosis recomendada?",2.5 millones UI,3.4 millones UI,2.4 millones UI,1.2 millones UI,C,2.4 millones UI
86,"Cuando el servidor público no ejerce presiones, amenazas o acoso sexual contra otros servidores públicos o subordinados que puedan afectar la dignidad de la persona o inducir a la realización de acciones dolosas. Este accionar corresponde a:",Un principio de respeto y equidad,Una prohibición ética,Un principio y deber,Una responsabilidad y deber 09 de agosto 2026,B,Una prohibición ética
