Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2024-II,Medicina I,11,¿Cuáles son factores de riesgo de enfermedad hipertensiva no modificables?,"Tabaquismo, sedentarismo",Consumo excesivo de sal,"Sexo masculino, edad ≥55 años",Persona adulta ≥ 30 Kg/m2,C,"Sexo masculino, edad ≥55 años"
2024-II,Medicina I,12,Al conjunto al que se le quiere medir la distribución de variables en toda investigación se le conoce como:,Parámetro,Muestra,Población,Variable,C,Población
2024-II,Medicina I,13,¿Qué institución conduce el Centro Nacional de Farmacovigilancia y Tecnovigilancia?,CDC,INS,CENARES,DIGEMID,D,DIGEMID
2024-II,Medicina I,14,"Confirma o refuta los datos preliminares, solidifica las conclusiones y asienta las bases para la generalización científica o estadística de los resultados a la población de interés:",El adecuado análisis de datos,Muestra adecuada y representativa,Definición clara y precisa del objetivo,Comparabilidad a lo largo del estudio,A,El adecuado análisis de datos
2024-II,Medicina I,15,¿Qué profesional debe tener la custodia de oxígeno medicinal en un establecimiento de salud?,Enfermera,Químico farmacéutico,Técnico de farmacia,Médico,B,Químico farmacéutico
2024-II,Medicina I,16,La determinación de la valoración nutricional antropométrica durante la gestación debe realizarse en base a tres indicadores. ¿Cuál es el primer indicador que se debe aplicar?,Índice de masa corporal pre gestacional,Ganancia de peso en el primer trimestre,Índice de masa corporal durante la adolescencia,Altura uterina según edad gestacional,A,Índice de masa corporal pre gestacional
2024-II,Medicina I,17,¿Cuál es una de las causales de exclusión de proveedores adjudicatarios?,Cuando su empresa no cuente con RUC vigente,Cuando el consorcio no esté registrado,Cuando sea persona natural,Cuando este impedido de contratar con el estado,D,Cuando este impedido de contratar con el estado
2024-II,Medicina I,18,"Después de haber utilizado benzodiacepinas por varios meses y retirar el fármaco de forma abrupta, se desarrolla rápidamente ansiedad, taquicardia, pesadillas, náuseas, insomnio entre otros síntomas. ¿Qué tipo de reacción adversa se ha presentado?",RAM tipo E,RAM tipo B,RAM tipo A,RAM tipo C,A,RAM tipo E
2024-II,Medicina I,19,"El responsable del establecimiento de salud, han identificado que tienen una gran población de mujeres en edad fértil procedentes de Venezuela. Con el fin de promover un mejor proceso de integración como sociedad de acogida y al uso de servicios de sanitarios, planifica capacitar a su personal. ¿Cuál sería el tema principal de la capacitación?",Charla de drogas y violencia,Empatía y buenas prácticas en salud,Respeto al usuario,Etnocentrismo y relativismo cultural,D,Etnocentrismo y relativismo cultural
2024-II,Medicina I,20,Se desea investigar los efectos de los macrólidos en bronquiolitis aguda; ¿Qué tipo de estudio sería el adecuado?,Descriptivo longitudinal,Analítico observacional,Analítico experimental,Descriptivo transversal,C,Analítico experimental
2024-II,Medicina I,21,El jefe de logística de un establecimiento de salud realizará la compra de un dispositivo médico para la entidad. ¿Cuántas cotizaciones en su estudio de mercado como mínimo debe contar?,8,3,5,1,B,3
2024-II,Medicina I,22,En toda medición o instrumento de recolección de datos; el grado en el que un instrumento produce resultados consistentes y coherentes. ¿A qué requisito esencial corresponde?,Confiabilidad,Validez,Honestidad,Objetividad,A,Confiabilidad
2024-II,Medicina I,23,"El médico SERUMS del puesto de salud, organiza un taller para autoexamen de mama con las mujeres del comedor popular de su distrito; allí explica la técnica del autoexamen y factores de riesgo para cáncer de mama. ¿Qué fomenta esta intervención?",Rehabilitación,Tratamiento,Autocuidado,Diagnóstico,C,Autocuidado
2024-II,Medicina I,24,"¿Cuáles son los estudios prospectivos de mayor calidad de evidencia, donde el investigador controla el factor de estudio?",Experimentales,Cohortes,Analíticos,Descriptivos,A,Experimentales
2024-II,Medicina I,25,"En un establecimiento de salud, se decide la contratación de recursos humanos. Por lo que se requiere definir adecuadamente el perfil del cargo. ¿Cuál es el documento de gestión que va a guiar los elementos de contratación?",POI,MAPRO,CAP,MOF,D,MOF
2024-II,Medicina I,26,Dentro del plan anual de calidad de salud en el establecimiento de salud está programada la apertura del buzón de sugerencias para saber la opinión de los usuarios con el objetivo de realizar los planes de mejora. ¿Cuál es la frecuencia de apertura del buzón de sugerencias?,Anual,Trimestral,Mensual,Semestral,C,Mensual
2024-II,Medicina I,27,"El hospital nacional docente de Lima, para optimizar la gestión de sus procesos administrativos, docentes, clínicos y de investigación requiere que se realice la programación en el Plan Operativo Institucional multianual, las actividades operativas y de Inversiones necesarias para implementar las Acciones Estratégicas Institucionales (AEI), definidas en el Plan Estratégico Institucional (PEI). ¿Cuál es el período de vigencia en años como máximo, del POI multianual?",2,10,5,3,D,3
2024-II,Medicina I,28,"Según la normatividad vigente, sobre manejo de residuos sólidos. Los medicamentos vencidos. ¿Cómo qué tipo de residuo se clasifica?",Especiales,Comunes,Biocontaminados,Punzocortantes,A,Especiales
2024-II,Medicina I,29,"La leche de los primeros días se llama ...... y brinda protección a la mucosa intestinal del recién nacido, con inmunoglobulina A secretoria, impidiendo la colonización de gérmenes.",leche madura,leche sucedánea,calostro,leche de transición,C,calostro
2024-II,Medicina I,30,"En relación al abastecimiento de productos farmacéuticos, dispositivos médicos y productos sanitarios, para que se considere como un adecuado abastecimiento. ¿Cuántos meses de stock disponible debe tener?",3,12,8,6,D,6
2024-II,Medicina I,31,"El establecimiento de salud asignado para realizar su SERUMS, pertenece a un área geográfica con presencia de casos autóctonos de dengue, que se limita a una unidad geográfica en un determinado tiempo. ¿Indique a qué tipo de escenario epidemiológico pertenece?",Escenario IV - endémico,Escenario III - brote,Escenario I,Escenario II - Epidémico,B,Escenario III - brote
2024-II,Medicina I,32,"Las farmacias de los establecimientos de salud del MINSA a nivel nacional. ¿Qué sistema de información deben manejar para remitir información de consumo integrado de productos farmacéuticos, dispositivos médicos y productos sanitarios?",Galeno,Farmax,Sisgalen,SISMED,D,SISMED
2024-II,Medicina I,33,Dentro de los modelos de salud. ¿Qué característica está relacionada con el modelo comunitario?,Diferencia la población con y sin recursos,Es centralizado,Tiene un monopolio estatal,Prioriza la protección laboral,B,Es centralizado
2024-II,Medicina I,34,Se desea estimar la prevalencia de la neumonía adquirida en la comunidad en la población pediátrica de 2 a 5 años en las escuelas de su jurisdicción. Para controlar el sesgo de selección. ¿Qué tipo de muestreo se debe realizar?,Estratificado,Aleatorio simple,No probabilístico,Por conglomerados,B,Aleatorio simple
2024-II,Medicina I,35,Es el subgrupo del universo del cual se recolectan los datos y que debe ser representativo de éste:,Población,Parámetro,Variable,Muestra,D,Muestra
2024-II,Medicina I,36,"Para conocer y saber cuáles son las funciones, objetivos y la necesidad de contar con determinado puesto, es necesario identificar el propósito del puesto con las preguntas siguientes:","¿Qué formación?, ¿Dónde?, ¿Para qué?, ¿De acuerdo a qué perfil?","¿Qué sabe?, ¿Dónde?, ¿Para cuándo?, ¿De acuerdo con qué?","¿Qué habilidades?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?","¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?",D,"¿Qué hace?, ¿Dónde?, ¿Para qué?, ¿De acuerdo con qué?"
2024-II,Medicina I,37,Puérpera con diagnóstico confirmatorio de sífilis; tratamiento incompleto; al recién nacido se considera neonato con sífilis congénita. ¿Cuál es la acción a seguir?,Tratamiento alternativo,Derivar a establecimiento resolutivo,Tratamiento farmacológico inmediato,Evaluación diagnostica confirmatoria,B,Derivar a establecimiento resolutivo
2024-II,Medicina I,38,"En la actividad de entrega de producto e información, dentro del proceso de dispensación farmacéutica de medicamentos de primera línea para la tuberculosis. ¿Cuál es una reacción adversa que debería de advertirse al paciente?",Nefrotoxicidad por rifampicina,Trombocitopenia por linezolid,Neuritis óptica por pirazinamida,Neuritis periférica por isoniazida,D,Neuritis periférica por isoniazida
2024-II,Medicina I,39,Durante la evaluación realizada de indicadores de gestión de medicamentos esenciales. ¿Cuál debe ser el valor de disponibilidad óptimo esperado que debe obtener la farmacia?,75% a 80%,90% a 100%,80% a 85%,85% a 89%,B,90% a 100%
2024-II,Medicina I,40,"Paciente de 30 años procedente de zona infestada por Aedes aegypti, presenta hace 5 días fiebre y dolor muscular, además se agrega dolor abdominal y plaquetas: 80,000/dl. ¿Cuál es el diagnóstico?",Dengue con signos de alarma,Dengue grave,Dengue,Dengue sin signos de alarma,A,Dengue con signos de alarma
2024-II,Medicina I,41,"El jefe de un establecimiento de salud, revisa conjuntamente con su equipo de gestión los resultados de la encuesta de satisfacción del usuario e identifican que el problema principal es el tiempo de demora en la atención. Por lo tanto, evalúan la brecha de recursos humanos para hacer el requerimiento para tal fin. ¿Qué documento de gestión es necesario para evaluar la brecha?",MOF - CAP,CAP – POI,ROF – CAP,PEI- MAPRO,C,ROF – CAP
2024-II,Medicina I,42,"Qué herramienta le permite poner en marcha las estrategias institucionales, detalla metas anuales de todos los objetivos y entregables y se precisan todas las actividades o tareas necesarias para alcanzar los productos a entregar, establece los recursos, plazos, costos por actividad, estándares de calidad, logística, planes de contingencia frente a los riesgos y finalmente indicadores que servirán para evaluar la gestión y determinar si se han alcanzado o no los indicadores de resultado e impacto establecidos.",Plan Anual Institucional,Plan Estratégico Institucional,Plan Operativo Institucional,Plan de Gestión Institucional,C,Plan Operativo Institucional
2024-II,Medicina I,43,"Según la norma técnica de salud para la acreditación de establecimientos de salud y servicios médicos de apoyo, las fases de acreditación son:",Evaluación y evaluación interna,Análisis situacional y evaluación interna,Autoanálisis y evaluación anual,Autoevaluación y evaluación externa,D,Autoevaluación y evaluación externa
2024-II,Medicina I,44,Las creencias que presenta una comunidad determinándolo como válido y propio en su desarrollo cultural no presentando participación en la comunidad ni en el sistema de salud. ¿Qué tipo de problema intercultural presenta?,Aculturación,Conflicto intercultural,Bioética,Desarrollo social,B,Conflicto intercultural
2024-II,Medicina I,45,"En el caso de tratamientos especiales, nuevas modalidades de atención, práctica de procedimiento o intervenciones que puedan afectar psíquica o físicamente al paciente; y la participación del paciente en actividades de docencia, debe realizarse y registrarse con el formato de...",autorización de atención.,solicitud de atención.,consentimiento informado.,permiso del paciente.,C,consentimiento informado.
2024-II,Medicina I,46,"Una investigación es un proceso sistemático, organizado y objetivo, destinado a responder a una pregunta. El término sistemático significa que se aplica...",el método epidemiológico.,el método científico.,el método clínico.,el método hipotético.,B,el método científico.
2024-II,Medicina I,47,Para recomendar la puesta en marcha de un programa de prevención secundaria respecto a un problema de salud determinado. ¿Cuál es uno de los tres grupos principales de factores a tener en cuenta?,Relativos al problema de salud,Relacionados al contexto,Enfocados en tratamiento,Enfocados en rehabilitación,A,Relativos al problema de salud
2024-II,Medicina I,48,"Mujer de 75 años con diagnóstico de insuficiencia cardiaca y diabetes mellitus 2, recibiendo el siguiente tratamiento farmacológico: losartán 50 mg c/24 h, espironolactona 25 mg c/24 h, bisoprolol 5 mg c/24 h, metformina 850 mg c/24 h. Resultados de control de laboratorio: Na: 140 mEq/L, K: 6.3 mEq/L, glucosa: 90 mg/dL. ¿Cuáles son los fármacos responsables del problema electrolítico?",Losartán - espironolactona,Bisoprolol - espironolactona,Metformina - espironolactona,Losartán - metformina,A,Losartán - espironolactona
2024-II,Medicina I,49,"Paciente, quechua hablante de 44 años aún fértil, madre de 6 hijos, con enfermedad de hipertensión arterial, se niega a utilizar métodos anticonceptivos. ¿Qué acción debe tomar con respecto a este caso?",Llamar a su pareja para que decida por ella,Persuadirla a que utilice anticonceptivos,Respetar su decisión,Solicitar evaluación psicológica,C,Respetar su decisión
2024-II,Medicina I,50,"Paciente varón de 35 años que trabaja habitualmente en el sector agrícola, acude junto a su familiar al centro de salud donde realiza su SERUMS, manifestando desorientación, mareos, bradicardia, dificultad respiratoria y relajación de esfínteres. El familiar manifiesta que el paciente estaba manipulando plaguicidas y parte de este se derramó en gran parte de su vestimenta. ¿Cuál es el tratamiento de primera línea?",Atropina,Flumazenil,Adrenalina,Naloxona,A,Atropina
2024-II,Medicina I,51,Toda medición o instrumento de recolección de datos debe reunir tres requisitos esenciales:,"Confidencial, válido y objetivo","Imparcial, equitativo y honesto","Privado, secreto y reservado","Seguro, reservado y protegido",A,"Confidencial, válido y objetivo"
2024-II,Medicina I,52,"Joven de 24 años, G2P1011, acude por presentar secreción vaginal líquida, grisácea, pegajosa, abundante y con mal olor; no uso de MAC. AMEU hace un año. Examen: FC: 72 X’; FR: 17 X’; T°: 36.5 °C; PA: 110/60 mmHg. Especuloscopía: hallazgos congruentes con los descritos. Prueba de aminas con KOH presente (a pescado). ¿Cuál es el diagnóstico?",Uretritis,Vaginosis bacteriana,Tricomoniasis,Candidiasis,B,Vaginosis bacteriana
2024-II,Medicina I,53,"Un estudio de investigación, que no se realiza sobre datos primarios, sino que utiliza los datos recogidos previamente en otros estudios. ¿A qué tipo de estudio hace referencia?",Cohortes,Analítico,Descriptivo,Revisión sistemática,D,Revisión sistemática
2024-II,Medicina I,54,En una comunidad se desea evaluar la incidencia de una determinada enfermedad. ¿Cuál de las medidas de efecto se debe aplicar?,Riesgo absoluto,Odds Ratio,Riesgo relativo,Número de pacientes necesario a tratar (NNT),A,Riesgo absoluto
2024-II,Medicina I,55,"Paciente que acude a su establecimiento de salud, con una glicemia en ayudas de 201 mg/dl, baja de peso, polidipsia y polifagia; el médico diagnostica diabetes mellitus tipo 2, indicando glimepirida. ¿A qué familia de drogas antidiabéticas pertenece?",Glitazonas,Glifozinas,Sulfonilureas,Metformina,C,Sulfonilureas
2024-II,Medicina I,56,"La definición de caso de enfermedad diarreica persistente, es la que se presenta con un cuadro diarreico que inicia con una diarrea aguda infecciosa, pero se prolonga por ...... días o más.",14,21,10,07,A,14
2024-II,Medicina I,57,"¿Es un instrumento que facilita el enfoque sistémico familiar en atención a la persona y proporciona una visión rápida e integrada de los problemas biomédicos y psicosociales, además de establecer las relaciones familiares?",Tipología familiar,Círculo familiar,Apgar familiar,Genograma,D,Genograma
2024-II,Medicina I,58,¿Cuál de los siguientes fármacos atraviesa la barrera placentaria y tiene riesgo de alcanzar concentraciones elevadas en el feto?,Amoxicilina,Diazepam,Omeprazol,Fluconazol,B,Diazepam
2024-II,Medicina I,59,"¿Cuál es el criterio epidemiológico de causalidad, que define que la coherencia interna de la asociación depende de la existencia de una relación unidireccional de la curva de dosis-respuesta entre el factor y la enfermedad?",Ausencia de distorsiones metodológicas,Gradiente biológico,Consistencia de los resultados,Evidencia experimental,B,Gradiente biológico
2024-II,Medicina I,60,"Gestante de 25 años G1P000; EG: 40 semanas por FUR, en período expulsivo hace 2 horas. Examen: FC: 84 X’; FR: 22X’; T°: 36.6 °C; PA: 100/60 mmHg. Examen: AU: 36 cm. Feto: LCD. FCF: 132 X’. MF: ++/++. TV: D:10 cm; I: 100%; AP: -2; M: rotas (LM Fluido); VPPF: OIIA. A la reevaluación: FC: 112 X’; FR: 25 X’; T°: 36.6 °C; PA: 80/50 mmHg. Las contracciones uterinas han cesado y se palpan partes fetales fácilmente. FCF: 86 X’. ¿Cuál es el diagnóstico más probable?",Parto obstruido,Muerte fetal,Trabajo de parto disfuncional,Ruptura uterina,D,Ruptura uterina
2024-II,Medicina I,61,De los factores relativos a las pruebas; el que se relaciona con la operatividad de las pruebas es la…,sensibilidad.,susceptibilidad.,validez.,aceptabilidad.,D,aceptabilidad.
2024-II,Medicina I,62,"Herramienta de gestión para los cuidados integrales en la RIS, que define las condiciones necesarias para asegurar la integralidad y longitudinalidad, de las personas, familias y comunidades en diferentes escenarios. ¿A qué corresponde?",Modelo de cuidado integral,Vías de cuidados integrales de salud,Equipo multidisciplinario de salud,Modelo de atención integral,B,Vías de cuidados integrales de salud
2024-II,Medicina I,63,"El equipo de gestión de la calidad de un establecimiento de salud, desea hacer un plan de mejora continua de los servicios del establecimiento. Para tal fin, indica a los jefes de cada servicio realizar un diagnóstico situacional de su área como línea de base; teniendo en cuenta aspectos de análisis de intorno, entorno. ¿Qué herramienta utilizaría Ud. para realizar el diagnóstico situacional?",Matriz de la problematización,FODA,Matriz de causa efecto,Árbol de problemas,B,FODA
2024-II,Medicina I,64,La pre diabetes se puede identificar a través de la glicemia en ayunas con un valor entre ...... mg/dl.,130-200,60 - 80,200 - 250,100-125,D,100-125
2024-II,Medicina I,65,"El director de la DIRIS descubre que un personal CAS contratado como técnico asistencial y estudiante de una carrera universitaria de salud, viene realizando actividades de un profesional; al ser descubierto indica que dichas funciones fueron otorgadas por su jefe inmediato superior. ¿A quién se debe sancionar?",Al responsable de recursos humanos,Al responsable de la DIRIS,Al jefe del establecimiento de salud,Al jefe inmediato,D,Al jefe inmediato
2024-II,Medicina I,66,¿Cuál es la etapa donde el curso de la enfermedad va desde el influjo de los factores causales hasta las primeras manifestaciones clínicas inespecíficas?,Subclínica,Prepatogénica,Prodrómica,Clínica,A,Subclínica
2024-II,Medicina I,67,¿Cuántos macroprocesos se evalúan para la acreditación de un establecimiento del primer nivel de atención I-4?,18,28,22,20,C,22
2024-II,Medicina I,68,Para determinar la magnitud de la faringoamigdalitis aguda en la población pediátrica de su localidad utilizando los criterios de Centor. ¿Qué tipo de estudio usaría?,Analítico experimentale,Descriptivo transversal,Analítico observacional,Descriptivo longitudinal,B,Descriptivo transversal
2024-II,Medicina I,69,"Adulto mayor acude a un establecimiento de salud I-1, se le capta para realizar su cuidado integral. ¿Qué tipo de valoración clínica del adulto mayor (VACAM) le corresponde?",Integral,Breve,Completa,Corta,B,Breve
2024-II,Medicina I,70,En la relación clínica médico-paciente de acuerdo a la ética. ¿Cuál es el principio que rige?,Jurisprudencia,Justicia,Autonomía,No-maleficencia,D,No-maleficencia
2024-II,Medicina I,71,"¿Cuál es el criterio que determina: ""el grado en el que un programa de salud puesto en práctica logra lo que se pretende conseguir en una población determinada""?",Eficiencia,Efectividad,Eficacia,Factibilidad,B,Efectividad
2024-II,Medicina I,72,Dentro de la ración de alimentos del PCA-PANTBC. ¿Cuál es el porcentaje de los requerimientos nutricionales calórico- proteicos al mes?,50,60,40,30,A,50
2024-II,Medicina I,73,Las dimensiones del clima organizacional son las características susceptibles de ser medidas en una organización y que influyen en el comportamiento de los individuos. Una de las más importantes dimensiones se refiere al nivel de colaboración que se observa entre los empleados en el ejercicio de su trabajo y en los apoyos materiales y humanos que éstos reciben de su organización. ¿Cuál es esa dimensión?,Conflicto y cooperación,Comunicación,Estructura,Confort,A,Conflicto y cooperación
2024-II,Medicina I,74,"El responsable de capacitación del establecimiento de salud solicita el plan de capacitación a cada servicio. Para ello el encargado del servicio de medicina se reúne con su personal, para realizar el análisis FODA y necesidades de capacitación. ¿Qué componente pertenece al análisis interno?",Oportunidades,Competencias,Fortaleza,Amenazas,C,Fortaleza
2024-II,Medicina I,75,"Gestante que acude a un establecimiento de salud, procedente de una comunidad de la costa norte, presenta fiebre alta, cefalea, dolor retro ocular, mialgias; después de la evaluación realiza su diagnóstico de dengue. ¿A qué grupo pertenecería para iniciar tratamiento?",C,A,B2,B1,D,B1
2024-II,Medicina I,76,"En el SERUMS, el profesional de salud al ingresar al establecimiento de salud. ¿Qué es lo primero que debe realizar para poder desarrollar el Plan Operativo Institucional?",Análisis poblacional,Recoger el informe anterior,Presentarse con el director,Análisis situacional,D,Análisis situacional
2024-II,Medicina I,77,Estudiando la prevalencia de anemia en 2020 en la población de Huancavelica encontramos que mantienen patrones culturales asociados a ingestas deficientes y aunadas a costumbres alimentarias de la región. ¿Qué aspecto de la interculturalidad vienen desarrollando?,Derechos humanos,Medicina holística,Bioética,Etnocentrismo,D,Etnocentrismo
2024-II,Medicina I,78,¿Cuál de las siguientes acciones forma parte de una prevención específica?,Propicia la actividad física en la comunidad,Incrementa la cobertura en el programa de inmunización,Sensibiliza a la población la no ingesta de alcohol,Promueve el uso de condón,B,Incrementa la cobertura en el programa de inmunización
2024-II,Medicina I,79,"Luego del proceso de evaluación SERUMS, se le asigna laborar en un establecimiento de salud I-2, con una población asignada de 2550 personas. De acuerdo a normativa vigente. ¿Con qué personal de salud debe contar el establecimiento?","Médico, enfermera, biólogo, agentes comunitarios","Médico, enfermera, obstetra y técnico de enfermería","Enfermera, obstetra y técnico de enfermería","Médico, enfermera y auxiliar de enfermería",B,"Médico, enfermera, obstetra y técnico de enfermería"
2024-II,Medicina I,80,"Cuando nos referimos a toda acción o actividad que realizan los otros profesionales de la salud para la promoción, prevención, recuperación y rehabilitación de la salud, según corresponda, que se brinda al paciente, familia y comunidad, hablamos de:",Auditoría,Atención de salud,Acto de salud,Acto médico,C,Acto de salud
2024-II,Medicina I,81,¿Cuál es el recurso que utiliza el investigador para registrar información o datos sobre las variables estudiadas?,Aparatos y equipos,Instrumento de medición,Medida de estabilidad,Recolección de datos,B,Instrumento de medición
2024-II,Medicina I,82,"Gestante llega al centro materno infantil, aproximadamente a las 11 pm, durante el proceso de la atención del parto, el bebé cae al balde de desecho provocándole luxación de la clavícula. El equipo de guardia inmediatamente procede a realizar la atención correspondiente, siendo derivado a un establecimiento de mayor capacidad resolutiva. El jefe del establecimiento solicita una auditoría. ¿Qué comité de auditoría se activará para este caso?",Comité de Auditoría en Salud,Consejo de Auditoría profesional,Comité de Auditoria Médica,Consejo de Auditoría Médica,A,Comité de Auditoría en Salud
2024-II,Medicina I,83,"Mujer de 20 años procedente de Chosica, presenta fiebre hace 7 días, cefalea, dolor muscular; ingresa a emergencia por dolor abdominal. Examen: PA: 70/50 mmHg, Sat O2: 89%, FC: 102 X', FR: 27 X'; afebril, luce deshidratada y decaída. AR: MV pasa en ACP; CV: RC taquicárdicos de buena intensidad; abdomen: RHA presentes, hígado de 15 cm de span hepático; SNC: somnolienta. ¿Cuál es su diagnóstico probable?",Dengue sin signos de alarma,Dengue con signos de alarma,Dengue grave,Dengue,C,Dengue grave
2024-II,Medicina I,84,¿Cuál es la ciencia que nos proporciona la metodología apropiada para investigar y contextualizar los problemas y situaciones de salud?,Estadística,Epistemología,Epidemiología,Ética,C,Epidemiología
2024-II,Medicina I,85,"En una visita domiciliaria se encuentra que en la familia Zegarra, el padre de 42 años es diabético de 10 años de evolución; el hijo mayor de 16 años tiene IMC: 27, glicemia en ayunas de 130 mg/dl; madre de 34 años tiene IMC: 23. El médico recomienda dieta hipocalórica e hipograsa. Esta medida está en nivel de prevención:",Cuaternaria,Secundaria,Primaria,Terciaria,C,Primaria
2024-II,Medicina I,86,"Paciente de 20 años, HSH, presenta fiebre y rash hace una semana. Antecedente de secreción uretral amarillenta hace 2 semanas, le diagnosticaron descarga uretral y no tomó el tratamiento; luego tuvo RS. Examen: PA: 120/70 mmHg, FC: 90 X', T°: 38.5 °C; rash en el cuerpo; AR: MV pasa en ACP; CV: RC regulares y rítmicos; hígado: 13 cm de span hepático. ¿Cuál es el diagnóstico más probable?",Sífilis secundaria,Meningococemia,Gonococemia,VIH aguda,C,Gonococemia
2024-II,Medicina I,87,"Acuden a la emergencia médica, de un hospital de alta complejidad, dos pacientes provenientes de la selva peruana, ambos afiliados al Seguro Integral de Salud; uno de ellos viene con su respectiva referencia y el otro no. ¿Qué le corresponde hacer al médico tratante de la emergencia?",Derivar al paciente que no tiene referencia a su jurisdicción,Deriva a la asistenta social para que evalue el caso,Atender a los dos pacientes por igual,Atender solo al que cuenta con la respectiva referencia del SIS,C,Atender a los dos pacientes por igual
2024-II,Medicina I,88,"En una reunión de la Microred Pinchollo, se hace una evaluación de cumplimiento de indicadores FED; donde para el indicador ""porcentaje de niñas y niños de 12 a 18 meses, con diagnóstico de anemia entre los 6 y 11 meses, que se han recuperado"", del centro de salud de Agua Dura no se registra ningún niño con anemia como recuperado. ¿Dónde está el problema?",Incorrecto registro de niños en los hospitales,Registro incorrecto de CVN,Error en el registro de HIS,Perdida del DNI del niño,C,Error en el registro de HIS
2024-II,Medicina I,89,"¿Cuál es un ámbito que se debe considerar, en un foco ampliado del modelo integral de atención, encargada de las actividades de diagnóstico precoz y tratamiento oportuno?",Consulta ambulatoria,Urgencias y observación,Medicina en domicilio y comunidad,Hospitalizaciones,A,Consulta ambulatoria
2024-II,Medicina I,90,"Una paciente con dengue acude a UVICLIN del centro de salud de su comunidad, se le clasifica en el grupo B2 de acuerdo a normativa vigente, el tratamiento con solución salina normal al 0.9% indicado es de ...... ml/Kg de peso en una hora.",20,15,10,5,C,10
2024-II,Medicina I,91,"Paciente de 20 años procedente de Camporedondo - Amazonas, presenta fiebre, ictericia y decaimiento hace 10 días acude a emergencia por escalofríos. Examen: PA: 100/70 mmHg, FC: 90 X’, Sat O2: 96% T°: 37,8 °C; AR: MV pasa en ACP; hígado: 15 cm de span. Laboratorio: formas cocobacilares de Bartonella. ¿Cuál es su diagnóstico?",Dengue,Enfermedad de carrión,Leptospirosis,Malaria Vivax,B,Enfermedad de carrión
2024-II,Medicina I,92,"Mujer de 30 años que, al día siguiente de recibir la vacuna contra la neumonía, refiere fiebre, cefalea y mialgias; dos días después presenta vómitos y diarrea. Sin evidencia de mejora, consulta en un centro de salud y se decide su internamiento. ¿Qué tipo de ESAVI es?",Grave,No grave,Leve,Moderado,A,Grave
